feature,importance
OPEXRate,0.4935900856135278
COGSRate,0.2084906282051521
SelfDeliveryRevenue,0.1215492273033052
TotalRevenue,0.11442717660711636
InStoreRevenue,0.019271099155525395
CommissionCost,0.007827018294870437
UberEatsRevenueShare,0.006186871134259986
DoorDashRevenueShare,0.00565718039758943
CommissionRate,0.005129874460429503
Commission_UE_Impact,0.005103623637356547
DoorDashOrders,0.002440470120409981
InStoreOrders,0.0018228974336471145
UE_share,0.0013129483923012854
DeliveryRadiusKM,0.001145743238366543
InStoreRevenueShare,0.0009412838183616583
